FilePath|Title|Author|Originator|Revision Number|Creation Time|Part Number|Material|Designer|Mass|TotalMass|PRODHIERARCHY|MATGROUP|MATERIALTYPE|MATDESC1|MATDESC2|MATDESC3|EXTMATGROUP|TITLE1|TITLE2|TITLE3|RAD1|RAD2|RAD3|TECHDESC|ALLViewScales|CLASSIFICATION|DATE CREATED|PaperSIZE|REVISIONCURRENT|LAB_OFFICE|UNIT_OF_MEASURE|Description|NETWEIGHT|DRAWNDATE|HDMATWT
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FEEDBOX\Liner\AX00-100026167.ipt|AX00-100001030.ipt|MDIR\manvandemo|not_found|1|5/22/2013 12:00:00 AM|AX00-100026167|S235JR|Pedro.Classio|4728.8197667571|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|TITLE2 doest not exist|5x305x400|not_found|not_found|not_found|5x305x400|not_found|RESTRICTED|7/13/2020 9:02:48 AM|not_found|01|135 - Mining Screens - Global|EA|5 x 380 x 572|not_found|not_found|8,1
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FEEDBOX\Liner\ZX11854460.ipt|Title doest not exist|manhensesi|not_found|Revision Number doest not exist|11/10/2020 12:00:00 AM|ZX11854460|Rubber|manhensesi|5553.34695001379|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|MATDESC1 doest not exist|not_found|not_found|Z272 - LOW-HEAD|TITLE1 doest not exist|not_found|TITLE3 doest not exist|not_found|not_found|not_found|TECHDESC doest not exist|not_found|RESTRICTED|DATE CREATED doest not exist|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|5,553 kg
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FEEDBOX\AX00-100027020.ipt|AX00-100027020|manhensesi|not_found|Revision Number doest not exist|9/4/2020 12:00:00 AM|AX00-100027020|RUBBER - T60|manhensesi|1911.6888|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|RUBBER|not_found|not_found|Z272 - LOW-HEAD|TITLE1 doest not exist|not_found|10 x 622 x 286 T60|not_found|not_found|not_found|10 x 622 x 286 T60|not_found|RESTRICTED|2020-09-04|not_found|02|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|1,912 kg
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FRAME\0918\AX00-100046368.ipt|AX00-100046368|manhensesi|not_found|Revision Number doest not exist|8/3/2020 12:00:00 AM|AX00-100046368|RUBBER - T60|manvandemo|5154.20204265023|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|RUBBER|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|2117 x 263 x10 T60|not_found|not_found|not_found|2117 x 263 x10 T60|not_found|RESTRICTED|29/04/2022|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|5,154 kg
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FRAME\0918\AX00-100046369.ipt|AX00-100046369|manhensesi|not_found|Revision Number doest not exist|8/3/2020 12:00:00 AM|AX00-100046369|RUBBER - T60|manvandemo|5154.20204265023|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|RUBBER|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|2117 x 263 x10 T60|not_found|not_found|not_found|2117 x 263 x10 T60|not_found|RESTRICTED|29/04/2022|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|5,154 kg
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FRAME\0930\AX00-100025078.ipt|AX00-100025078.ipt|manvandemo|not_found|Revision Number doest not exist|1/23/2017 12:00:00 AM|AX00-100025078|S355J2H|manimpest|25856.0644367054|not_found|M38140 - Standard Screen and Vibrating Spares|MA - METAL FABRICATION - CUT & MACHINED PARTS|YHAM - DESIGN MATERIAL|BEAM|not_found|not_found|Z272 - LOW-HEAD|TITLE1 doest not exist|not_found|EN10210 150 x 100 x 8 x 924|not_found|not_found|not_found|EN10210 150 x 100 x 8 x 924|not_found|RESTRICTED|2020-07-23|not_found|01|135 - Mining Screens - Global|EA|Tube|not_found|not_found|25.9
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FRAME\1230\AX00-100036228.ipt|AX00-100036228|MDIR\manhensesi|not_found|Revision Number doest not exist|1/23/2017 12:00:00 AM|AX00-100036228|S355J2H|manimpest|42925.544205526|not_found|M38140 - Standard Screen and Vibrating Spares|MA - METAL FABRICATION - CUT & MACHINED PARTS|YHAM - DESIGN MATERIAL|BEAM|not_found|not_found|Z272 - LOW-HEAD|TITLE1 doest not exist|not_found|EN10210 150 x 100 x 8 x 1534|not_found|not_found|not_found|EN10210 150 x 100 x 8 x 1534|not_found|RESTRICTED|12/10/2020 11:09:02 AM|not_found|01|135 - Mining Screens - Global|EA|Tube|not_found|not_found|42.9
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FRAME\1836\AX00-100028265.ipt|Title doest not exist|manhensesi|not_found|Revision Number doest not exist|8/3/2020 12:00:00 AM|AX00-100028265|Rubber|manvandemo|8099.94555141285|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|RUBBER|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|3955 x 263 x10|not_found|not_found|not_found|3955 x 263 x10|not_found|RESTRICTED|9/17/2020|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|8,100 kg
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FRAME\1848\AX00-100027078.ipt|Title doest not exist|MDIR\manhensesi|not_found|Revision Number doest not exist|1/23/2017 12:00:00 AM|AX00-100027078|S355J2H|manimpest|51460.2840899364|not_found|M38140 - Standard Screen and Vibrating Spares|MA - METAL FABRICATION - CUT & MACHINED PARTS|YHAM - DESIGN MATERIAL|BEAM|not_found|not_found|Z272 - LOW-HEAD|TITLE1 doest not exist|not_found|EN10210 150 x 100 x 8 x 1839|not_found|not_found|not_found|EN10210 150 x 100 x 8 x 1839|not_found|RESTRICTED|9/14/2020 10:14:27 AM|not_found|01|135 - Mining Screens - Global|not_found|Tube|not_found|not_found|51.5
C:\Temp\Test02_versionUpgrad\Mannheim\ACVL_LH(U\ACVL_Development_2020\FRAME\1848\AX00-100027079.ipt|Title doest not exist|manhensesi|not_found|Revision Number doest not exist|5/31/2017 12:00:00 AM|AX00-100027079|S235J2|manvandemo|105661.32961655|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|BENDING PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|5185 x 334 x8|not_found|not_found|not_found|5185 x 334 x8|not_found|RESTRICTED|9/14/2020|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|105,661 kg
