Assembly_Path,PRODHIERARCHY,MATGROUP,MATERIALTYPE,EXTMATGROUP,LAB_OFFICE,HDMATWT
C:\Temp\Test02_versionUpgrad\All_IPT\10192454-DWK.0011.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\1730290.0005.ipt,M37401 ,FC,YHAM,TX460,094,
C:\Temp\Test02_versionUpgrad\All_IPT\482020-2719.0001.ipt,,,,,135,
C:\Temp\Test02_versionUpgrad\All_IPT\482027-859.0004.ipt,,EG,YHAM,,135,
C:\Temp\Test02_versionUpgrad\All_IPT\6660305.2.0003.ipt,,,,,072,
C:\Temp\Test02_versionUpgrad\All_IPT\6681430.1.0005.ipt,,,,,,
C:\Temp\Test02_versionUpgrad\All_IPT\75085.1160.0005.ipt,M37401 ,FE,YHAM,TX460,093,
C:\Temp\Test02_versionUpgrad\All_IPT\80117760500-3.0007.ipt,M38150 ,MA,YHAM,Z270,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000001.0008.ipt,M38140 ,FC,,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000029.0002.ipt,M38150 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000035.0006.ipt,M38150 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000041.0005.ipt,M38150 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000134.0004.ipt,M38140 ,MA,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000144.0003.ipt,M38140 ,MA,YHAM,Z276,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000154.0018.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000165.0004.ipt,M38140 ,HO,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000174.0008.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000184.0008.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100000192.0007.ipt,M38140 ,EG,YHAM,Z271,135,
